No,cell_line,barcode,editd positions,edit ratio
0,41,000000000000',0,0
1,42,100000000000',1,0.083333333
2,62,000000000001',1,0.083333333
3,43,110000000000',2,0.166666667
4,76,000000000011',2,0.166666667
5,44,111000000000',3,0.25
6,77,000000000111',3,0.25
7,45,111100000000',4,0.333333333
8,59,000100001110',4,0.333333333
9,78,000000001111',4,0.333333333
10,46,111110000000',5,0.416666667
11,54,010011001001',5,0.416666667
12,56,100001101100',5,0.416666667
13,63,010000111001',5,0.416666667
14,79,000000011111',5,0.416666667
15,47,111111000000',6,0.5
16,60,100110110100',6,0.5
17,80,000000111111',6,0.5
18,48,111111100000',7,0.583333333
19,81,000001111111',7,0.583333333
20,49,111111110000',8,0.666666667
21,55,111100110011',8,0.666666667
22,57,111010111010',8,0.666666667
23,61,111101011001',8,0.666666667
24,82,000011111111',8,0.666666667
25,50,111111111000',9,0.75
26,58,101111011101',9,0.75
27,64,001111111011',9,0.75
28,83,000111111111',9,0.75
29,51,111111111100',10,0.833333333
30,84,001111111111',10,0.833333333
31,52,111111111110',11,0.916666667
32,85,011111111111',11,0.916666667
33,53,111111111111',12,1
