cell_line,TMP (uM),Dox (ng/ml ),BMP2 (ng/ml )
0,0,0,0
1,10,2500,1024
2,10,500,1024
3,10,100,1024
4,10,20,1024
5,10,2500,256
6,10,500,256
7,10,100,256
8,10,20,256
9,10,2500,64
10,10,500,64
11,10,100,64
12,10,20,64
13,10,2500,16
14,10,500,16
15,10,100,16
16,10,20,16
17,10,2500,4
18,10,500,4
19,10,100,4
20,10,20,4
