No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,BMP(ng/ml)
1,0,1,1,6.92804624099369,0.5708465291294013,0.010261226361897347,1.4676897928051384,-7.089658706133828,0.34951075573908214,-4.025219673995397,0.2414521459218549,0.1920372709632574,64.93948295781061,3,64
1,0,1,2,6.968127483318752,0.5697203666640129,0.028174012095323466,4.423152825863264,-7.262167411749393,0.7112184336255012,-8.759548901968623,0.20488131389615374,0.1292509576280813,56.42562943730917,5,64
1,0,1,3,6.996736004047659,0.5472224515597576,,0.0,-7.81832387597738,,-0.0,0.1039020674204825,,0.0,1,64
1,0,1,4,6.949442430370893,0.5941057743841668,0.059725101209184686,9.478003388839609,-6.727836732193237,0.8913703115504358,-12.491266102018033,0.20261120215031794,0.11547660516759849,53.734633765432726,9,64
1,0,1,5,7.043455048268359,0.5745329552897854,0.09624239694800962,16.183403931708465,-6.7337106432843115,1.2439781218682726,-17.84747081560349,0.3189291205241035,0.18042323255248222,54.653335562183216,15,64
1,0,1,6,6.908267779293725,0.6033427105389444,0.07482530219344269,11.692520720781024,-6.579584358243878,1.228412405681035,-17.602302209508743,0.2197366764661906,0.15032603080779203,64.49935591545956,9,64
1,0,1,7,6.978634088549871,0.6200169150508414,0.057970561225515464,8.81510938528521,-6.4166328793125915,1.1654306430610464,-17.12391168828197,0.21757551393287666,0.18554618811119092,80.40179734392608,9,64
1,0,1,8,6.951178032671693,0.5713872936607584,0.02422255676585744,3.965458693912239,-7.061349760612509,0.40612153425558845,-5.3798766882055,0.2708633248359908,0.18545121667328066,64.04474610691133,8,64
1,0,1,9,7.0570935122140535,0.6156778843571751,0.07257981511696857,11.114400511572478,-6.694047792517496,1.235804638936147,-17.405429768822664,0.11401074705277699,0.06645805037226399,54.95731972344843,9,64
1,0,1,10,7.006664193683368,0.6146513554827164,0.0673832704571837,9.805465940618289,-6.394147587831197,1.4873968723077533,-20.80602907777932,0.2110925444765849,0.22612506952832737,95.81219993078298,5,64
1,0,1,11,6.99776686329018,0.624716380678781,0.07886968533319412,11.688366465574193,-6.413646934976585,1.3225475973094383,-19.091184171949475,0.1860808731134556,0.14142668651446183,70.36492618963985,7,64
1,0,1,12,6.737870927318087,0.5435882676521905,,0.0,-6.979726267479942,,-0.0,0.0628892137550184,,0.0,1,64
1,0,1,13,7.045577562574746,0.6546521727037596,0.09929796562612907,13.846471443295428,-5.832730283736848,1.7007662782130812,-26.61841054148082,0.28758287747864825,0.10814887346184841,34.32956908698673,6,64
1,0,1,14,7.063919238932658,0.5544440398232101,0.03307522793407411,5.335684232837782,-7.078799511083024,0.282576360511944,-3.5704356364375793,0.3365379543584588,0.14540052088003047,38.643540134593295,5,64
1,0,1,15,7.02248117650302,0.5884212963277693,0.026491275074135026,4.244614159753235,-7.017674960011274,0.3719117210972297,-4.9965513552404754,0.19194125597725606,0.09194126266473894,45.16124128366584,9,64
1,0,1,16,7.213847599090467,0.6089492548463483,0.09803474015281675,14.696309031093202,-6.523430478685625,1.5814561073369933,-22.13046204556954,0.15493577216241994,0.12184564845965781,71.79061928237573,6,64
