cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
0,1,1,0,0,1020.4982230495854,6.92804624099369,0.6254750833103223,0.01218068020911451,1.5900687348694358,-6.568715464766416,0.1563804714542358,-1.9438217555795727,0.35908660386978997,0.13596796863105678,30.916603489670326,3
0,1,2,0,0,1062.2619548081975,6.968155833163833,0.6233168903690276,0.023855130074489916,3.423086605407319,-6.764786846435624,0.5627202701274577,-7.440179889688793,0.295155477048032,0.1436728815035256,43.53804751017714,5
0,1,3,0,0,1093.0595874713522,6.996736004047659,0.6160637976803248,,0.0,-7.043900779317167,,-0.0,0.2712964949422429,,0.0,1
0,1,4,0,0,1042.568261692349,6.949442430370893,0.627106242384772,0.024329132940815755,3.470008200359408,-6.585881063368426,0.31660068576038325,-4.299747585913323,0.3427409776041166,0.09028275510174963,23.560460031908757,5
0,1,5,0,0,1145.337976332031,7.043455048268359,0.6275295537080052,0.07675677461133708,11.843175672831753,-6.258002590919964,1.0484495830881126,-16.221740545977603,0.4195298205866211,0.12902273170320913,29.777554934592676,16
0,1,6,0,0,1000.5223348645652,6.908277477477332,0.6524204242123368,0.07250771223411119,10.289239098532029,-6.0147230872678765,1.1691413518034919,-17.996083066005284,0.4052737085437939,0.07975530620906865,18.21955483300029,7
0,1,7,0,0,1073.4511259791122,6.978634088549871,0.6717931346008912,0.055332012936391485,7.625485748350205,-5.7820229509144765,1.1318345656266635,-18.122985663845725,0.3517185872707552,0.16826441851292362,44.29182487756408,7
0,1,8,0,0,1044.3793167471222,6.951178032671693,0.6163043942670863,0.03287197542551736,4.770627780032032,-6.549590811555559,0.3251179252265771,-4.439885192385982,0.4139260876174178,0.19617048950799398,42.38926347881878,5
0,1,9,0,0,1161.118747139214,7.057139256518647,0.6599683360524329,0.06062137065014817,8.660169471754237,-6.271202729981992,1.1185452914686398,-16.816146114585997,0.26516469691939065,0.04779494133948471,16.993779096637855,9
0,1,10,0,0,1103.9657399299474,7.006664193683368,0.6314457707230996,0.11560352439138932,15.854978136176262,-5.814455686103236,1.4735641105109278,-21.947780199916476,0.5055319989313681,0.2023777220103781,34.66926896645502,4
0,1,11,0,0,1094.1869590305828,6.99776686329018,0.6775845468284164,0.07759588813028508,10.242835758042997,-5.79339439051465,1.373378781051181,-21.203240147532465,0.29208571642921316,0.10685427996849094,32.72100212462738,5
0,1,12,0,0,843.7623906705539,6.737870927318087,0.5975825865181583,,0.0,-6.683456759113445,,-0.0,0.0924286822178527,,0.0,1
0,1,13,0,0,1147.7715543108625,7.045577562574746,0.696162184760847,0.08320551716020529,10.690221132143757,-5.498816878945547,1.4638062723778387,-23.809996971967422,0.3789547822570887,0.06275471967490462,14.811668903213103,5
0,1,14,0,0,1169.0260115606936,7.063926212345725,0.6056227493523477,0.03238201850772411,4.881025911812131,-6.345043891800548,0.4609340908931081,-6.631527520020813,0.48352527326061573,0.16130556832107115,30.453664405466412,6
0,1,15,0,0,1121.5798663132418,7.022493565257261,0.6247665981469791,0.014813771243862729,2.164498095782258,-6.7251665945100525,0.318072450782548,-4.317500386205312,0.3504511917852516,0.07283162944381028,18.971508387525056,6
0,1,16,0,0,1358.1623646118028,7.2138878625415375,0.6837832998783577,0.11304721979465751,13.498818772284038,-5.734516337670176,2.1042557943734757,-29.960986425602147,0.4184070347595348,0.022864771969672716,4.461925012245378,3
0,1,17,0,0,1055.844073026485,6.962095795244815,0.6442569645565973,0.05237855262250015,7.665105030174149,-6.249660204371266,1.1018255519250812,-16.621881168427805,0.392828762391062,0.11193172002200373,26.864183018126752,9
0,1,18,0,0,1105.3352388730093,7.007903951535839,0.6331923661711352,0.018077779393324327,2.472521311856491,-6.533551573219897,0.28641424602165494,-3.7964346080500566,0.2753101986667803,0.11928454264405251,37.52256353335833,4
0,1,19,0,0,1153.111623882319,7.050219327276361,0.6670053302229482,0.07497724479744065,10.261469290262509,-6.144564449715062,1.3840645178720623,-20.56243811596754,0.3059455132750304,0.11750274427312381,35.06011191241935,6
0,1,20,0,0,1142.1854446246866,7.0406987628687805,0.6195207247629748,0.03513032771859601,5.379570663180636,-6.447453049907064,0.46505100239410246,-6.8427969199293965,0.408621496561155,0.16298673804375943,37.8401032464301,10
0,1,21,0,0,1136.5879465041476,7.035786023936252,0.6863389593536531,0.08548057413195417,11.369415952688893,-5.442839044197512,1.728947494033247,-28.997842716954736,0.43547932048416604,0.16498608842521637,34.585110419083115,6
0,1,22,0,0,1118.3322686798297,7.019593808737067,0.6228978658104789,0.022923510640349642,3.442455321574017,-6.684707164623266,0.48548361913621174,-6.793541306162541,0.34845775924002886,0.10680536266029839,28.67127101836882,8
0,1,23,0,0,1053.923076923077,6.960274744391572,0.6317416193870842,,0.0,-7.162149406883455,,-0.0,0.2449486461446987,,0.0,1
0,1,24,0,0,1128.8396624472573,7.028945536745609,0.6092743037890543,0.05277436219702466,7.907141455962387,-6.399812660105744,0.571546428338091,-8.152553001374626,0.46042613011270284,0.18150670589606396,35.986705450953785,6
0,1,25,0,0,1101.4372529964369,7.00437119956893,0.6520878376708895,0.0631465924153184,9.186817188185405,-6.374766196770979,1.0996741026815622,-16.365187715294077,0.29442528164363047,0.08006463036364996,25.7980487159792,10
