cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,barcode_number sum
10,8,93,500,16,1406.846112886049,7.2491056786281955,0.7668765330481179,0.10182491861069815,11.876093738944448,-3.9500139595630714,1.6631558493685374,-37.65991284522768,5
10,8,94,500,16,879.2472856484833,6.779066184227897,0.8116537677386946,0.04375663858382467,4.4017716933811,-3.635225076711881,1.0098312541071768,-22.681505240887645,3
10,8,96,500,16,661.5608047306852,6.4946018988026095,0.6279842752708651,0.029275017087742942,3.296350548453844,-6.73024763231148,0.675965420551998,-7.101963535861369,2
10,8,98,500,16,1137.2674345713838,7.036383676797658,0.9161249829686001,0.042493033087072245,3.7871924545073132,-1.4685274652123288,0.5729284235316523,-31.8546373841411,3
10,8,99,500,16,1337.0627490884424,7.198230508751902,0.8912722826829382,0.09647377121012841,8.837984291978193,-1.8514156967569508,1.6017441821693057,-70.63884413170783,3
10,8,100,500,16,770.6113525258012,6.647184164144015,0.863993358607239,0.057791429266200435,4.729748339092223,-2.5316950222617174,1.2035088482855762,-33.614209466687036,2
10,8,101,500,16,1029.3077079658026,6.936641727055726,0.7231138721847945,0.057422991255018284,5.6151856677509135,-4.480120635542805,2.2124479118289693,-34.91952669901122,2
10,8,103,500,16,1596.7411569856856,7.375720054293083,0.6852025832722246,,0.0,-4.3635259056627165,,-0.0,1
10,8,104,500,16,2000.5058030112923,7.601155329073533,0.8297090225239551,0.1367832826178016,13.460512005253186,-2.977568861693115,2.2112103843576647,-60.63489384804009,3
10,8,105,500,16,3311.754248456683,8.105233312406964,0.8355570109823316,0.0960115633586264,9.95126027700675,-2.6339349558643375,1.2348017866581456,-40.59970097224548,4
10,8,106,500,16,1626.0814869522403,7.39392840382882,0.7344856262607036,0.09232106567812906,10.885493918887468,-4.803726440522422,1.9468131581768782,-35.0975367202557,4
10,8,107,500,16,1474.9100860046913,7.2963523082749795,0.795080472928186,0.11060967531849436,12.047936277114035,-3.8295466494158075,2.053003156742615,-46.427241931103644,4
10,8,108,500,16,869.1724681170292,6.767541572911709,0.6224339551103906,0.056919690224684585,6.466276238701339,-6.245723992709189,0.4568953403588303,-5.172719669287304,2
10,8,110,500,16,1620.976760730377,7.390784185254363,0.7704442424475054,0.10100961250925815,10.704733543422275,-3.7485717905129605,1.2783293342784965,-27.84397869555487,3
10,8,112,500,16,1171.187488986784,7.065773460932424,0.8880501170852134,0.0018450926068090316,0.14691484963417206,-2.048581127477333,0.01876223832400968,-0.6476143791035816,2
10,8,113,500,16,1180.6429928741093,7.073814478265941,0.8122608635007845,0.039874357467568844,4.008229129573033,-3.1902751062969354,0.27965493485516996,-7.157291786470772,3
