cell_line,position,cell_label,Dox (ng/ml ),CHIR (uM),CFP_intensity,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,barcode_number sum
0,1,1,0,0,374.016308279082,5.924299401488144,0.630223185482652,0.018030744141916716,2.648779944149198,-6.0247523613438165,0.5004282376719973,-7.69005086255778,7
0,1,2,0,0,357.86928934010155,5.880167806155375,0.6350454650998458,,0.0,-6.203447215237196,,-0.0,1
0,1,3,0,0,347.1987650690973,5.849897425951233,0.5947457342409536,,0.0,-5.940144425690701,,-0.0,1
0,1,4,0,0,377.701499605367,5.934104200071575,0.6146536809325118,0.017608963511938348,2.701015307800131,-6.0985787786845345,0.5407033202090871,-8.358996376144685,9
0,1,5,0,0,381.3290536342928,5.943662660221661,0.614640953957811,0.06944765007377304,10.314434865372846,-6.215072040377307,1.1247404426101577,-16.52020839430551,6
0,1,6,0,0,380.03208094268615,5.94025567269035,0.6279079014254638,0.027002104695019576,4.05438893035365,-5.980041655077132,0.6706250539859318,-10.573026090421784,9
0,1,7,0,0,359.13635450160774,5.883702133929076,0.5919372423640594,0.012524547273655356,1.4961370352579255,-5.479550999948472,0.659491810485202,-8.510389470514378,2
0,1,8,0,0,392.0261691301187,5.971328595547244,0.613986783592221,0.020435650849748285,2.9769699078628524,-6.091387582052971,0.5922939113310939,-8.696931072307144,5
0,1,10,0,0,402.8495121484599,5.998563073222,0.6031622818772285,0.027944139370831532,4.417333821973961,-6.672019267223589,0.5522583925570871,-7.892029321420171,11
0,1,11,0,0,376.9403276131045,5.932086892726706,0.5976256454433676,0.036605247606433765,5.729518811048124,-6.216023704309853,0.5019280229536923,-7.553231712305848,8
0,1,12,0,0,403.44985429820304,6.000052203154787,0.6125183929336959,0.025771883578772303,4.028401471844132,-6.046063863909217,0.5387310133293247,-8.531098704224362,12
0,1,13,0,0,372.2541158961957,5.919576728309428,0.6176837709205113,0.02513376858121328,3.860225505768107,-6.128694670950717,0.6875107297737071,-10.642232670821873,10
0,1,14,0,0,375.9538402235714,5.929466370490768,0.6188728378029428,0.03612138725374092,5.588158538233941,-6.12188261923788,0.4174145794820983,-6.528123102409725,12
0,1,15,0,0,384.5899444393843,5.952177687309459,0.638305570379971,,0.0,-5.872813815985992,,-0.0,1
0,1,16,0,0,371.7901112706389,5.918329478028419,0.629510956360929,0.02123942926589423,3.1236772487225775,-5.908368797610544,0.2877841810881601,-4.5094744145923045,7
0,1,17,0,0,392.5544747081712,5.972675316657556,0.6072780817604906,0.02429072499755117,3.741596039235435,-6.739263264333401,0.5698664488728521,-7.909785254956381,8
0,1,18,0,0,396.9932500503728,5.98391927815064,0.6499447907509344,0.02622580471261878,3.6090869831756174,-5.699562372993361,0.7823776478638547,-12.277781978416535,5
0,1,19,0,0,379.2326447380087,5.938149855119585,0.6610657792496504,0.0712977352972347,9.64663957933879,-5.739413614854776,1.1670339657138027,-18.186995776942286,5
0,1,20,0,0,409.43201429980274,6.0147708682641685,0.615971624826873,0.02572970555047356,3.9073124049953725,-6.253051006047945,0.3739086393948451,-5.593421600180327,8
0,1,21,0,0,405.33514030612247,6.004714231840144,0.6278181999894874,0.05188939900704909,7.964387783525026,-5.838113539553165,0.8409169442135683,-13.879960330630775,14
0,1,22,0,0,418.8987415976239,6.037629223884557,0.6243956742886454,0.028474946279769976,4.299587251579854,-6.146349477122667,0.5096557582254447,-7.817779622486665,9
0,1,23,0,0,409.2881314066938,6.014419385781797,0.6220301673982127,0.0037201233284577927,0.4228933852847667,-6.491233471953637,0.11628943359071467,-1.2667707520861813,2
0,1,24,0,0,444.2865417376491,6.09646971854824,0.7136162704840682,,0.0,-4.48263991816834,,-0.0,1
0,1,25,0,0,432.1836194509567,6.068850542963425,0.6014856069102783,0.038452642294896935,6.0954336171332395,-6.3039566362838935,0.7363017994032746,-11.136437964761711,11
0,1,26,0,0,401.6283950617284,5.995527270713032,0.6017532736776718,0.00792098621145456,0.930777331641879,-6.702164059219001,0.4317699744199295,-4.555356659840574,2
0,1,27,0,0,415.05720446473873,6.028416352815059,0.6095694821782172,0.02094420100838372,2.975577135261667,-6.044166286370239,0.3012239587481155,-4.316022891240557,4
0,1,28,0,0,417.8785610313994,6.035190866466201,0.6042740334911756,,0.0,-6.046897381722412,,-0.0,1
0,1,30,0,0,389.0443103448276,5.963693245472843,0.6162261089077843,0.03306558592575949,5.01926533291535,-6.0272591402617905,0.8346981819153027,-12.954290438698967,8
0,1,31,0,0,445.9912518974195,6.100299337247919,0.617410958436026,0.02744314337975865,4.2556435117999785,-6.578101208352689,0.3440906576742088,-5.008158323327075,12
0,1,32,0,0,417.2217316654403,6.033617811092739,0.6123658067400639,0.038561976745536124,5.890503011045259,-6.498326059216609,0.6616105701427765,-9.523683693246648,8
0,1,33,0,0,436.0587402689313,6.077776959661842,0.6585889290793997,0.028588249360993294,4.092577143412265,-5.639181094799117,0.6567628244592674,-10.980351910426252,9
0,1,34,0,0,413.9134442715192,6.025656880158833,0.6107368266099975,0.022792729300142714,3.5185681180855766,-6.197347220216529,0.5352895726258564,-8.143417352668889,9
0,1,35,0,0,439.2599408241322,6.085091358169419,0.5963445516963661,0.04765609886051843,7.295089243947794,-6.654879183731008,0.36458262713412004,-5.001095773559877,6
0,1,36,0,0,431.8581298940581,6.068097131285015,0.6007351117077927,0.027872115958559554,3.280740848372754,-6.632965500472262,0.5012143693856801,-5.343191961356042,2
