No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,BMP(ng/ml)
1,3,1,1,8.352868311968777,0.561238214016518,0.022815478787111258,2.87453337343658,-7.135524670095774,0.7427228569425003,-7.360136681851581,0.25995046339063343,0.11347039139210478,30.865758872172876,2,64
1,3,1,2,8.42837122419005,0.5714205867098325,0.015046318175233546,2.280368274479529,-6.6871637243674344,0.34830462202519596,-4.510741225464607,0.35940534050941886,0.10263018890375183,24.72983586161142,4,64
1,3,1,4,8.590677415352298,0.5927321868090007,,0.0,-5.523561956057013,,-0.0,0.6637905603051877,,0.0,1,64
1,3,1,6,8.726926792874439,0.5753775705706994,0.0271468509183437,4.475976363721572,-6.524769175901499,0.40659572812395306,-5.9117888454128655,0.4248118969394075,0.148710450556323,33.209785720401555,10,64
1,3,1,7,8.589164752385589,0.54744478100355,0.031179326757183472,5.272942296802971,-7.074283475260866,0.6341907194585826,-8.29973123380273,0.3514291944890161,0.13326474883651082,35.1078353758793,7,64
1,3,1,8,8.182536628788013,0.5781465722004955,0.0025833375007678068,0.3159571556281608,-6.533315634577951,0.11332669739730727,-1.2265453056484426,0.3634975377925715,0.19169727186961702,37.290607715565535,2,64
1,3,1,9,8.322766784411858,0.5492951784370708,0.03289164623680039,5.601235726083235,-6.899008027388581,0.5952140177594948,-8.07031575198865,0.45285973564769977,0.11637370743177677,24.037826050907636,8,64
1,3,1,10,8.368683038261352,0.5539424736052944,0.037521659606595516,6.458341872298412,-6.691428972211947,0.6550574701579323,-9.333922458045432,0.44215978294450176,0.13447763097949744,28.998428888187348,11,64
1,3,1,11,8.795684041134065,0.5528659841011133,0.034505305590459646,5.8842314464562415,-6.730622774220179,0.5700853541437128,-7.985615066987302,0.4485625332813774,0.19509041290508988,41.00498627635447,9,64
1,3,1,12,8.636749961996241,0.5411301907723634,0.04361351142675385,7.539166173677361,-6.771741476998353,0.6404788292722761,-8.84725277374732,0.45169545568994346,0.2373693784313006,49.15673143339466,8,64
1,3,1,13,8.267616948872663,0.535613276476081,0.04220186928917723,7.543728923465623,-7.214511802564193,0.4574514666784231,-6.070770229042404,0.3350547305705047,0.16968340959052955,48.48745033441899,12,64
1,3,1,14,8.250029189201099,0.5700329533971003,0.01910227860937074,3.159431552229626,-6.585857625029498,0.3824447268317444,-5.474949002723636,0.3546132353749287,0.14326922824790597,38.0909425531724,9,64
1,3,1,15,8.608573261479403,0.6003721685182011,0.024595836050680206,3.66425788913588,-6.034739333517902,0.3896242637458494,-5.774740490149069,0.523014769775233,0.04157406973052241,7.109737727576245,5,64
1,3,1,16,8.851856061552585,0.5514148655123552,0.04225127586977886,7.269132960668393,-6.846234473372706,0.6786281883835703,-9.403756625773434,0.4390313869860762,0.10615496229716313,22.938551256631357,10,64
1,3,1,17,8.16523712221189,0.5555554360604187,0.04490369185394829,7.560641990571497,-6.7787078916271994,0.7671297368864755,-10.585854607264316,0.3998534353005721,0.18918139748986085,44.2569646066726,8,64
1,3,1,18,8.36012762078148,0.5459777648588756,0.045747356145732235,7.757426136597316,-6.751807611319466,0.6404332195337145,-8.7817364080741,0.4105171706524881,0.16851889708666104,38.00527560548879,7,64
