No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,CHIR(uM)
6,10,1,51,8.308702921,0.576597011,0.016618807,2.0380389,-6.924641338,0.355960529,-3.634875677,0.266497885,0.034673488,9.200019949,2,3
6,10,1,52,7.946901833,0.590499177,0.028854032,4.460633969,-6.479466838,0.758929817,-10.69231443,0.396105821,0.232350034,53.54770871,6,3
6,10,1,54,8.310547432,0.599009085,0.029394854,3.469947451,-6.77358219,0.257067231,-2.683572401,0.194611628,0.112038855,40.70847912,2,3
6,10,1,55,9.223174825,0.567426376,0.035305473,5.866191682,-6.877382949,0.640680977,-8.782989433,0.354526751,0.116923175,31.09390931,9,3
6,10,1,56,9.313555236,0.934806573,0.252074785,19.06745152,-0.942513037,3.036349759,-227.7977512,4.214845444,4.71487019,79.09938166,2,3
6,10,1,57,8.316321054,0.952645051,0.263364573,25.23687731,-0.914901823,3.473083145,-346.5373616,4.354053276,5.068745396,106.2713299,6,3
6,10,1,58,7.962714603,0.576731049,0.027242881,4.312102509,-6.615890783,0.600503928,-8.285846855,0.38007847,0.237151148,56.95886653,6,3
6,10,1,59,7.019698996,0.606751202,0.077620818,11.96662264,-5.818757912,1.629428719,-26.19443915,0.546920601,0.272959143,46.68500287,8,3
6,10,1,60,8.115870938,0.575897472,0.0365485,5.676352741,-6.90841891,0.84810768,-10.98037886,0.330836496,0.146542308,39.6181881,5,3
6,10,1,61,9.240758121,0.574580037,0.041223463,6.711165837,-6.79236845,0.502474279,-6.919849129,0.29168915,0.197715917,63.4052741,8,3
6,10,1,62,9.537508284,0.59432064,0.065374652,8.981377389,-5.235847271,1.159504038,-18.08171693,0.828182005,0.152999808,15.08410219,3,3
6,10,1,63,7.350047938,0.505650124,0.02289715,3.697308396,-8.172782954,0.560487765,-5.599516669,0.18099983,0.080031402,36.10244609,3,3
6,10,1,64,7.765582083,0.83192477,0.02706081,2.655896283,-2.780202153,0.390944824,-11.48136338,0.509397037,0.355301938,56.95023659,3,3
6,10,1,65,7.964350987,0.560374754,0.030057429,4.797536163,-6.328561421,0.692087208,-9.781395422,0.637388409,0.199727154,28.02708595,5,3
6,10,1,66,7.72571331,1.049619211,,0,0.814165904,,0,6.029363661,,0,1,3
6,10,1,67,7.556618889,0.582265647,0.026112932,3.883873675,-6.717986135,0.685911317,-8.842182956,0.341353631,0.17679576,44.85366647,4,3
6,10,1,68,7.131335053,0.573407063,0.039721361,6.413390579,-6.77261166,0.3541104,-4.840710525,0.398981695,0.175239767,40.6636446,7,3
6,10,1,69,7.416957717,0.637779087,0.082106447,11.75212395,-5.560562554,1.315883444,-21.60270171,0.458149617,0.12112486,24.13433502,6,3
6,10,1,70,8.226111161,0.587916545,0.027576672,4.062157863,-5.863166134,1.281083016,-18.92237762,0.661244626,0.29264681,38.32765701,4,3
6,10,1,71,7.412845438,0.78890456,0.436678358,49.50877677,-4.231072402,4.752822803,-100.4722573,2.664937117,5.063721009,169.952594,5,3
6,10,1,72,8.110142819,0.543380185,0.068640513,11.29852413,-7.004506826,0.90792124,-11.59352778,0.427562195,0.207781512,43.46629244,5,3
6,10,1,73,9.438382665,1.524456392,0.165098387,7.657955283,4.756865511,2.019379571,30.01802311,11.78509612,0.299843664,1.799064562,2,3
6,10,1,74,8.486698111,0.58318355,0.055911184,8.575084751,-6.573651218,0.647802645,-8.814162492,0.389960185,0.174079521,39.92752685,5,3
6,10,1,75,7.781032034,0.564515349,0.039822658,6.309565903,-6.979623185,0.673880524,-8.635667691,0.358427751,0.068542612,17.10424933,5,3
6,10,1,76,7.741289931,0.56688348,0.088863593,13.5756521,-6.015835476,1.926533441,-27.73391838,0.736840591,0.385599593,45.32039188,4,3
6,10,1,77,6.967799835,0.569060754,0.019197044,2.754419628,-6.806119819,0.540445701,-6.483460165,0.317444483,0.294248682,75.68348342,3,3
6,10,1,78,7.143087381,0.540835377,0.052072505,8.913945643,-7.197325174,0.953033359,-12.25924101,0.364081869,0.212140499,53.94499295,7,3
6,10,1,79,9.609175923,1.724719158,,0,6.913211144,,0,11.99433466,,0,1,3
6,10,1,80,8.208468829,0.672143109,,0,-4.455575861,,0,0.774131245,,0,1,3
6,10,1,81,8.47601854,0.592939496,0.02408619,3.316745168,-6.581358933,0.440515782,-5.465127087,0.321231942,0.083591862,21.24709926,3,3
6,10,1,82,8.617343934,0.615437988,0.094700312,14.04677045,-6.194202371,1.508527332,-22.2319302,0.362745186,0.193844479,48.78217437,6,3
6,10,1,83,8.668961747,0.570155734,0.027572457,4.325406883,-6.859386901,0.456646642,-5.954426823,0.360178613,0.144544114,35.89446503,5,3
6,10,1,84,7.050197198,0.590256269,0.026285111,3.856557763,-6.57139709,0.205277906,-2.705298109,0.362551482,0.170766516,40.7909354,4,3
6,10,1,85,7.658287004,0.617363254,0.043515852,5.755208813,-6.149019946,1.258226699,-16.7073421,0.361769239,0.327480405,73.91082555,3,3
6,10,1,86,8.253413859,0.591301782,0.04071783,6.375320769,-6.468396653,0.942956466,-13.49651384,0.319746576,0.19886005,57.5795475,7,3
6,10,1,87,8.192989361,0.533127031,0.06434279,11.17366874,-7.442594746,0.507608906,-6.314390938,0.260783529,0.161185063,57.22308146,7,3
6,10,1,88,9.063384611,0.59733471,0.057331071,7.836581812,-6.634172779,0.887770911,-10.92618383,0.332992862,0.03285862,8.056914764,3,3
6,10,1,89,9.021140334,0.644888396,0.032681479,4.137819205,-5.653639843,0.819470564,-11.83476366,0.380409418,0.161765355,34.72071232,3,3
6,10,1,90,8.032713504,0.599789226,0.077620402,11.81371816,-6.312375636,1.744339422,-25.22595043,0.436877905,0.409280605,85.5205453,6,3
