cell_line,position,cell_label,Dox (ng/ml ),CHIR (uM),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
0,1,1,0,0,344.1593640153683,5.841104817584682,0,0.7957825754279451,0.025142417824681188,2.9973252241739123,0.23381952533167652,0.15012258665179068,60.90970820964231,10
0,1,2,0,0,370.9234065187199,5.915995589861383,0,0.7938392584161696,0.019722029759757946,2.3423013889421886,0.17878909971188273,0.14899810521031845,78.57121099511156,9
0,1,3,0,0,389.080894109969,5.963787276009211,0,0.8071042156407656,0.025565104936288587,3.0432449559425474,0.2723471555574479,0.16437294448302506,57.98643884867942,13
0,1,4,0,0,341.01146616541354,5.83191610183672,0,0.8122633834893568,0.024003956369818884,2.559272820879145,0.2686522332608052,0.20620935951680353,66.47350058181125,4
0,1,5,0,0,351.9271977443925,5.863424329617148,0,0.8262024041703143,0.01726588971910009,1.9347689696511627,0.36732242879821214,0.14097176502425018,35.531316175512345,7
0,1,6,0,0,350.6566905076036,5.859807655102058,0,0.7989899001320641,0.02732839803093769,3.059270496573115,0.19859114369575562,0.1993013541850631,89.76258813400207,5
0,1,7,0,0,364.9231015700096,5.8996866507561,0,0.8320368214214232,0.03502211531452166,3.993200181276298,0.41438744565307833,0.2415281046987459,55.29455135311334,10
0,1,8,0,0,353.08380451615227,5.866705435318156,0,0.8147676276511953,0.02496380082576579,2.866031571202392,0.2716420410523974,0.17505230086161888,60.28022503927416,8
0,1,9,0,0,360.3404068307384,5.887049159206005,0,0.7972635391199967,0.014229578307289612,1.6932121708874193,0.19492747822803175,0.08821346406717986,42.932192415588354,10
0,1,10,0,0,362.8791876801153,5.894069962560989,0,0.8181943336708764,0.031710141251734485,3.695263110363246,0.3616297578380715,0.2726885338006842,71.89627232270114,11
0,1,11,0,0,380.0810588114121,5.940384542634131,0,0.7908798507224789,0.009118032129702042,1.0937343750298207,0.1462539200039571,0.1029345157141878,66.76898359259431,10
0,1,12,0,0,377.78260240963857,5.934318904270821,0,0.8174841407391296,0.024884318153833504,2.869922360552029,0.32106594240571895,0.17583314543240497,51.633343007773455,9
0,1,13,0,0,383.04418034534217,5.948150335910051,0,0.8206102770441074,0.021177175240848972,2.234918602900251,0.27383795130060556,0.13662821586052445,43.20931603781556,4
0,1,14,0,0,371.115896562542,5.916514403480393,0,0.8129821482962682,0.012908842773650592,1.50635577450091,0.27017759922250134,0.13474948347576401,47.315019736005,10
0,1,16,0,0,397.1456245103072,5.984303025796513,0,0.7900543937111207,0.021221456578142995,2.5717213847199156,0.11896786761826517,0.07623065339104071,61.3487452198013,12
0,1,17,0,0,426.7435601830169,6.056183271186973,0,0.7885551782607099,0.01773375625660422,2.177480553707751,0.11970902857243092,0.07126068775187583,57.6379785621832,16
0,1,18,0,0,400.5287236575783,5.992785483431272,0,0.7814484014522786,0.01927937702535292,2.383477615728241,0.09881108173544814,0.07611432339814388,74.41819390912218,15
0,1,19,0,0,430.0059356239189,6.063799012368892,0,0.7871687655946401,0.015714013240576093,1.9236538225847748,0.10699047941694044,0.0712499159139534,64.17219298628686,14
0,1,20,0,0,380.9360808651381,5.942631594294117,0,0.7918883771567046,0.019996641925361866,2.362093734705039,0.14322681623844233,0.11492205502995544,75.05559492962142,8
0,1,21,0,0,370.0410350055127,5.913613904909023,0,0.7945688720815978,0.023392948835276896,2.8370114073853743,0.17055467091685278,0.13323371875646287,75.27628718088243,14
0,1,22,0,0,362.3271673010565,5.892547580739918,0,0.7926507295300371,0.013816605295921833,1.6619698650683956,0.14023568713644038,0.10965376994344089,74.55361010146613,11
0,1,23,0,0,357.68245801778073,5.879645604016239,0,0.7786774967657226,0.01281186544462619,1.5512381738136418,0.09347393330254106,0.04940184518984813,49.828336810300904,9
0,2,1,0,0,374.94993462628025,5.926792509394216,0,0.8310914732351227,0.0285411085538712,3.2377681720905107,0.38508502513482473,0.21956077052991715,53.75536988483387,9
0,2,2,0,0,358.9872356720419,5.883286832625096,0,0.8217598621572445,0.023370098743610963,2.7115603821916383,0.32438265605092825,0.1636442614423661,48.1001922635236,11
0,2,3,0,0,367.960200906262,5.9079747826090845,0,0.8021755682601167,0.022716684327675207,2.7113228368240763,0.20776310817893806,0.14834724792377485,68.36231791495241,12
0,2,4,0,0,355.48315631125496,5.873477867843051,0,0.8052677781625468,0.027992919332293684,3.277416303305318,0.2492242436795959,0.18628093570655532,70.46960916221894,9
0,2,5,0,0,388.8383151363284,5.96316361489217,0,0.8027103757660187,0.012645621186891642,1.5135620783098205,0.19599197637451146,0.11600600619325875,56.867106334595206,13
0,2,6,0,0,372.768028912983,5.920956319780307,0,0.8145358201732533,0.033855790282005346,3.9431565791677197,0.2809212290468409,0.2223926102274917,75.10295880753833,10
0,2,7,0,0,379.1885817852288,5.938033658601638,0,0.8064736205570682,0.015592166645845439,1.729263978282756,0.20501743740301387,0.14042360723653755,61.26244389825028,5
0,2,8,0,0,390.920950827313,5.968505367748739,0,0.8035552169274325,0.013281470528617065,1.5680203424262011,0.19348080160955178,0.11612279815184376,56.93782443172732,10
0,2,9,0,0,371.1918483839471,5.916719040498361,0,0.7906795813903149,0.015781062702194662,1.939652497080017,0.12614614972345536,0.09749310644469866,75.1083320159882,18
0,2,10,0,0,412.4249390934358,6.02205422338285,0,0.8055391681980061,0.01897253381454649,2.2205594871432774,0.2016581113552236,0.1384157119468793,64.71328321163305,9
