cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
0,1,1,0,0,1029.2876160119995,6.93662220699409,0,0.8215316913325178,0.02625914919832351,2.959258709947212,0.42343363339805584,0.153812191930265,33.63039863799504,7
0,1,2,0,0,1012.0210366514856,6.919704636836385,0,0.8363026310271513,,0.0,0.434207152143415,,0.0,1
0,1,3,0,0,1020.2470987323692,6.927800130598823,0,0.8311205271626259,0.016988405554413475,1.9271359370035084,0.3702492393060386,0.1371004479204984,34.91149425361926,9
0,1,4,0,0,937.7299235181644,6.84346197952798,0,0.7842735357668286,,0.0,0.2424994732116069,,0.0,1
0,1,5,0,0,1007.2659726740404,6.914994981651399,0,0.7806129831224871,0.026835417256789167,3.1382096910585813,0.18575360395072268,0.09769481980072013,48.01132200414982,6
0,1,6,0,0,1046.702948365414,6.953400453676794,0,0.813457716363586,0.025638630640987963,2.971553689374829,0.2676684518946318,0.18618411829827852,65.57966353080027,9
0,1,7,0,0,1010.9950154692334,6.918690288710823,0,0.8160616027992107,0.025180996255304035,2.8863832191651206,0.25528861587457347,0.14625947328280545,53.59158267981161,8
0,1,8,0,0,1035.9719077211205,6.943095306352475,0,0.8197947310469467,0.02469142767671564,2.857342717000326,0.3777624164829142,0.28346022865999126,71.18600815162776,10
0,1,9,0,0,1013.2878338278932,6.920955603896348,0,0.8053780459688945,0.024793645362154306,2.8796826154714017,0.34316623810174557,0.2719391229838095,74.12610240255613,8
0,1,10,0,0,1050.9042517854175,6.95740626471494,0,0.804434510197625,0.030843004261011338,3.5864931594979046,0.3052351187091896,0.28920957465569735,88.63029473086485,8
0,1,11,0,0,1071.187529056253,6.976523152278063,0,0.8175799114739235,0.023065527872811138,2.65984864869604,0.3482980521862066,0.2727021950222199,73.81783892054911,9
0,1,12,0,0,979.9845426799252,6.887536798764639,0,0.7828862742639925,0.027604408187001116,3.2644225326185494,0.27442075282788464,0.32995182914141585,111.3166669167454,7
0,1,13,0,0,1062.001765563829,6.967910864289983,0,0.7949285820218057,0.028129320900257816,3.357008104514954,0.27888095218761394,0.2847177164937408,96.85385114254123,10
0,1,14,0,0,1048.5448877805486,6.9551586608519615,0,0.8184573748490006,0.020753629168626882,2.3906815219830584,0.37147405959573393,0.28161984422766334,71.47571373240041,9
0,1,15,0,0,1035.9334827648877,6.943058214932748,0,0.8086633632193704,0.030575600068963583,3.4515693073972904,0.3767455895419391,0.31404726583033127,76.09501672257164,6
0,1,17,0,0,1042.6836435492096,6.949553095040891,0,0.8231499496992511,0.03513101130469732,3.9922315490964295,0.4212174446230897,0.32946729943787667,73.16611469791306,8
0,1,18,0,0,1139.9163848029575,7.038710192034471,0,0.8048200070033973,0.024000448997219034,2.789488845173448,0.20738674492416254,0.1266697645749714,57.13417948627506,8
0,1,19,0,0,1084.6263651877134,6.988990842785411,0,0.7968720588996775,0.02611085250669375,3.065042344800524,0.23789717600081622,0.23246510135727103,91.40553686707086,8
0,1,20,0,0,1038.8157718120806,6.945836662395786,0,0.7813724490988466,0.027711210271987287,3.3436525216294486,0.20701036658164015,0.30477448258503376,138.80664170088457,9
0,1,21,0,0,1118.1389808074125,7.019420957981268,0,0.7915966039666078,0.033022040180310186,3.9575028277830686,0.15278994705208368,0.16554048160020995,102.78522447018274,10
0,1,22,0,0,1122.4412546210722,7.023261283833618,0,0.7735365244643811,0.02575694759554425,3.1748062526867136,0.12934851560721256,0.12128579869405388,89.40301411167029,11
0,1,23,0,0,1200.7704804483344,7.090718696779517,0,0.7668480699164166,0.018816469527624096,2.313409695773376,0.09956967423720132,0.016842323358683978,15.947721899730064,9
0,1,24,0,0,1107.8879976451542,7.010210777039977,0,0.816633170647236,0.045931478160406804,5.302823159698352,0.3984934855229152,0.29186594513511493,69.05353838901264,9
0,1,25,0,0,1059.3494233559918,6.965410247132578,0,0.8145473853085967,0.02846970584556372,3.2358861352736605,0.3173277949042358,0.2128660440052025,62.10475894762355,7
0,1,26,0,0,1218.2944231203433,7.10520714575844,0,0.8085552163765308,0.035267438075643726,4.08007602683234,0.3338934534296646,0.31822858145016564,89.15286525050344,8
0,1,27,0,0,1089.137375993693,6.993141263731414,0,0.7971009781609523,0.03754611876917414,4.440945529079954,0.20757365482328038,0.16961754120545652,77.04106361453685,9
0,1,28,0,0,1010.6054935507584,6.918304928772935,0,0.7955922070054064,0.03699701295743746,4.3052933306708905,0.2985318267867824,0.3373177905397658,104.61048453491375,7
0,1,29,0,0,1011.6547002724795,6.919342586359302,0,0.7862712528671449,0.03378719887524587,4.0196090658590125,0.1817819790147572,0.23768380351573962,122.30741517411315,8
0,1,30,0,0,1122.8893296853626,7.023660401071293,0,0.7905578797108699,0.02527610074868366,3.0809458428360146,0.26298651899677666,0.28440840434627696,104.21172805059894,14
0,1,31,0,0,1020.72476855365,6.928268211357464,0,0.7979159690859692,0.03241574756200017,3.7611918804471713,0.3070182568499154,0.34065678649614883,102.72578031613178,7
0,1,32,0,0,1112.038116803472,7.013949751924025,0,0.8140130636340956,0.040660069391427384,4.67240809090877,0.3752279216494667,0.33862490779338883,84.4165848600155,8
0,1,33,0,0,860.1951290229052,6.757159257723635,0,0.8146996689440823,0.04460203245900491,3.8711688256043155,0.3233098865581549,0.11071302307365025,24.213898997783733,2
