No,cell_line,position,cell_label,cell_x,cell_y,Dox (ng/ml ),recording time (Days),chasing  time (Days),restimulation (Days),CFP_intensity,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
1,RM2_dWntRsg21_1,1,1,530.2383977900553,65.5621546961326,100,3,3,3,707.9332412523021,6.562349797231426,0.9015693023856592,0.1540197443512943,15.816263342699898,-1.3499399992507928,2.1485151940494807,-147.35014537103066,2.730658550656305,2.255770167175114,76.48108771182908,7
1,RM2_dWntRsg21_1,1,2,662.7682780293927,44.08531287549681,100,3,3,3,670.6079120066549,6.508184632361953,0.6860427884107965,0.0897990250072727,12.11844854229835,-4.636535887128885,1.37631021152977,-27.482061788709988,0.6372762528130035,0.1173820947451252,17.052997375744273,7
1,RM2_dWntRsg21_1,1,3,1207.69781538073,56.05038514964011,100,3,3,3,625.313928526329,6.438253809275319,0.7875495497705889,0.0258156401364321,2.838805530346616,-3.007533698061871,0.3815789480170142,-10.987642889754843,0.7096751965714247,0.0486690906340597,5.939149215276405,4
1,RM2_dWntRsg21_1,1,4,1754.8115027178678,41.39172365421708,100,3,3,3,633.9363492898475,6.451948553955385,0.7350677051677371,0.1165786480982039,14.185239266531283,-3.5580056538461,1.64293634773712,-41.300860242020725,0.7963285605230339,0.18395063721992,20.66112656102563,5
1,RM2_dWntRsg21_1,1,5,1878.9254723582928,34.391532540237925,100,3,3,3,790.3598670398881,6.672488369638324,0.7708323270417942,0.1304186181672896,15.445040506412782,-3.380073037153576,1.9644667991914333,-53.055203618382215,0.7847631194614989,0.223289007437034,25.973958082222392,6
1,RM2_dWntRsg21_1,1,6,1099.330864951523,54.83128483090312,100,3,3,3,638.1367279945034,6.458552567585698,0.8151860897660049,0.1561191223520891,16.585553614175335,-2.6629390226962144,2.1105725029978952,-68.63880053379653,1.4054482547959637,0.9107964112208904,56.12250946282611,4
1,RM2_dWntRsg21_1,1,8,133.97144741801733,84.33716547304938,100,3,3,3,1648.2018469656991,7.407440182924274,0.9204103025259625,0.0581584215569522,5.472197602971141,-1.097622959295551,0.7741627684457418,-61.08150512525632,1.5945597313931648,1.4733371055493865,80.01878741972305,4
1,RM2_dWntRsg21_1,1,9,1699.6993865030674,106.93221361762043,100,3,3,3,622.4546917429348,6.433670841341255,0.7843869833350817,0.0956461630225695,11.131317011307942,-3.0760077169543,1.3807927068143964,-40.977970059066365,0.7303260748642515,0.0657551435979607,8.21906284059232,6
1,RM2_dWntRsg21_1,1,10,960.2804365695496,117.2562791122477,100,3,3,3,653.12384692666,6.481766769680474,0.8201386582676928,0.1075107599874768,11.96668958068725,-2.502461368249808,1.491182177812557,-54.396718267079926,1.0669987751589556,0.6506582284833915,55.667072487753074,6
1,RM2_dWntRsg21_1,1,11,1800.114160948222,122.67747972551466,100,3,3,3,661.1386150966937,6.493963523005357,0.8062386105707802,0.0647194238135357,7.179861108821443,-2.763607842680716,0.986049463909196,-31.91297399618677,0.7810104292617552,0.1532226617715738,17.54733481541614,5
1,RM2_dWntRsg21_1,1,12,1973.6664771552607,142.16482323754394,100,3,3,3,3735.771500930329,8.22570963605708,1.1996932612563904,0.2126275453092484,16.81398132795324,2.3756497272906385,2.1055110062060898,84.0807086374345,8.366314994781373,3.377133997125889,38.29440584475178,10
1,RM2_dWntRsg21_1,1,13,465.7245056354188,159.86205034757373,100,3,3,3,805.2039549166498,6.691095605473208,1.165353171290578,0.1743745549323443,12.2174317117426,1.9476541958843896,1.821130358891308,76.34551937405108,8.290782782563307,3.794979368992596,37.3738856841176,3
1,RM2_dWntRsg21_1,1,14,57.94153092929103,173.572356651916,100,3,3,3,834.7385368609359,6.727118546307714,0.9156815373496208,0.1169651100816412,11.062225517873344,-1.1398625097347563,1.5522594730224932,-117.93493736497568,1.9283100671552944,1.5928562796861705,71.53693932743968,4
1,RM2_dWntRsg21_1,1,15,1447.6221757322176,208.57973699940223,100,3,3,3,557.8961147638972,6.324172770790484,0.7933226695676441,0.1178883141141371,14.097501423521136,-3.127700788621901,1.8483266313165407,-56.0627989368693,0.6880500270740875,0.2032614694070347,28.025689059800857,10
1,RM2_dWntRsg21_1,1,16,1284.097823943199,202.8886332259549,100,3,3,3,702.7432121491026,6.554991550756148,0.7769691689091655,0.0967328524280568,11.13564050374196,-3.3113545393937565,1.359337762114214,-36.71695802197376,0.6759123295346512,0.0778944250431224,10.307681742370368,5
1,RM2_dWntRsg21_1,1,17,383.5548456184187,255.8788506157416,100,3,3,3,750.2611458147421,6.620421340344404,0.9633765151031572,0.1465475374330932,14.341884107348356,-0.5661529399162794,1.9733120637475696,-328.6137586496128,3.8079281014952895,3.613959813642048,89.47842231784755,9
1,RM2_dWntRsg21_1,1,19,1679.1761048056026,279.19355228205745,100,3,3,3,704.1706109635354,6.557020671915866,0.8691853534858858,0.1086859172815175,11.414851147587507,-1.7798198236199274,1.4867412088355376,-76.25506867276562,1.6576082279986224,2.044077339419963,112.57055488891912,6
1,RM2_dWntRsg21_1,1,20,1911.858975963946,270.6378317476214,100,3,3,3,2677.615047571357,7.892681769679412,1.839944819719744,0.2407916915374949,11.946648227472435,6.683977032428306,1.3343155124712776,18.22354917997253,11.992296515253464,0.0031491082225813,0.0239714665624311,6
