Barcode Count,Probability,Sample,Mean Mout Avg,Std Mout Avg
1,0.0,0,0.0534968942072055,0.0
1,0.0,1,0.0596462635296087,0.0
1,0.0,2,0.1027937249029621,0.0
1,0.0,3,0.1884975820447039,0.0
1,0.0,4,0.1300408024952125,0.0
1,0.0,5,1.9165101982089248,0.0
1,0.0,6,0.2977704907589213,0.0
1,0.0,7,0.2785174674936002,0.0
1,0.0,8,0.2130978724590306,0.0
1,0.0,9,0.2744949372735805,0.0
1,0.0,10,0.9003231768966923,0.0
1,0.0,11,0.1387919851842411,0.0
1,0.0,12,0.2678689418029449,0.0
1,0.0,13,0.4826331164176722,0.0
1,0.0,14,0.4311135527502756,0.0
1,0.0,15,0.4826331164176722,0.0
1,0.0,16,0.4680602398902742,0.0
1,0.0,17,0.1064090792869658,0.0
1,0.0,18,0.2980177169552007,0.0
1,0.0,19,0.2096374409822488,0.0
1,0.0,20,0.1327713117164961,0.0
1,0.0,21,0.1328314185004703,0.0
1,0.0,22,0.2785174674936002,0.0
1,0.0,23,0.8613640152243249,0.0
1,0.0,24,0.2820352988487222,0.0
1,0.0,25,0.6226089079846133,0.0
1,0.0,26,0.1927469090897489,0.0
1,0.0,27,0.7220545027548124,0.0
1,0.0,28,0.3250353950474505,0.0
1,0.0,29,0.2796089811781712,0.0
1,0.0,30,0.339694098983621,0.0
1,0.0,31,0.1956776692319497,0.0
1,0.0,32,0.4398907747004159,0.0
1,0.0,33,0.1387919851842411,0.0
1,0.0,34,0.129217897863171,0.0
1,0.0,35,0.2350045777384792,0.0
1,0.0,36,0.1516508462815835,0.0
1,0.0,37,0.126552522535789,0.0
1,0.0,38,0.126552522535789,0.0
1,0.0,39,0.5860902245340078,0.0
1,0.0,40,0.1081107280700608,0.0
1,0.0,41,0.573813127438342,0.0
1,0.0,42,1.006988859356511,0.0
1,0.0,43,0.9003231768966923,0.0
1,0.0,44,0.4071342708963925,0.0
1,0.0,45,0.327148124951691,0.0
1,0.0,46,0.1328314185004703,0.0
1,0.0,47,0.5323025547231737,0.0
1,0.0,48,0.175549093453327,0.0
1,0.0,49,0.3709239265501765,0.0
1,0.01,0,0.0880070307739959,0.0
1,0.01,1,0.1927469090897489,0.0
1,0.01,2,0.7383094148127611,0.0
1,0.01,3,0.6320213783692452,0.0
1,0.01,4,0.0555831451039027,0.0
1,0.01,5,0.1444501846931697,0.0
1,0.01,6,0.2092141872733116,0.0
1,0.01,7,0.8553734707660965,0.0
1,0.01,8,0.1478463001699701,0.0
1,0.01,9,0.3945044331852022,0.0
1,0.01,10,0.137985380204987,0.0
1,0.01,11,0.6176590548381213,0.0
1,0.01,12,0.2806389697202789,0.0
1,0.01,13,0.4034958945908329,0.0
1,0.01,14,0.2130978724590306,0.0
1,0.01,15,0.1081107280700608,0.0
1,0.01,16,0.3237618079186104,0.0
1,0.01,17,0.1087020739401572,0.0
1,0.01,18,0.1854934524552121,0.0
1,0.01,19,0.233507785386018,0.0
1,0.01,20,0.1387919851842411,0.0
1,0.01,21,0.8613640152243249,0.0
1,0.01,22,0.1762655983399496,0.0
1,0.01,23,0.4824227656378426,0.0
1,0.01,24,0.0555831451039027,0.0
1,0.01,25,0.6467304276478671,0.0
1,0.01,26,2.0637840509434144,0.0
1,0.01,27,0.1956776692319497,0.0
1,0.01,28,0.5860902245340078,0.0
1,0.01,29,0.1343975756489221,0.0
1,0.01,30,0.974531382029312,0.0
1,0.01,31,0.2296895804341677,0.0
1,0.01,32,1.5935604782086008,0.0
1,0.01,33,0.2749440107599852,0.0
1,0.01,34,0.5673405421339766,0.0
1,0.01,35,0.8116980490068499,0.0
1,0.01,36,2.0536485058028404,0.0
1,0.01,37,0.1444501846931697,0.0
1,0.01,38,0.1947347169333326,0.0
1,0.01,39,0.5183242870170943,0.0
1,0.01,40,0.2042315370886822,0.0
1,0.01,41,0.2042315370886822,0.0
1,0.01,42,0.1101862033779764,0.0
